participant,condition,run,trial_repeat,class_id,true_label,global_trial_index,max_abs,max_ptp,reject_max_abs,reject_max_ptp,reject_trial
1,normal,4,1,5,5,229,30.766320068063056,50.39634952010272,False,False,False
1,normal,4,1,6,6,230,28.667158793459574,46.90885924524727,False,False,False
1,normal,4,1,7,7,231,33.77667570787185,55.85138434923303,False,False,False
1,normal,4,1,8,8,232,28.631606683309638,41.220880494133766,False,False,False
1,normal,4,1,9,9,233,20.731895384138546,35.55926196857086,False,False,False
1,normal,4,1,10,10,234,33.23277308814759,57.355681318936234,False,False,False
1,normal,4,1,11,11,235,22.039568514908183,37.11363726387545,False,False,False
1,normal,4,1,12,12,236,29.66210232587767,50.22509836165978,False,False,False
1,normal,4,1,13,13,237,27.3226927013892,41.77395784217666,False,False,False
1,normal,4,1,14,14,238,24.3130210501643,36.525026384926306,False,False,False
1,normal,4,1,15,15,239,24.818147349466685,42.39211843890269,False,False,False
1,normal,4,1,16,16,240,26.36470382822989,48.08049455304194,False,False,False
1,normal,4,1,17,17,241,24.10329048850512,44.800239256005405,False,False,False
1,normal,4,1,18,18,242,25.99214471000201,46.51428482588467,False,False,False
1,normal,4,1,19,19,243,64.63350909210833,94.27794388432966,False,False,False
1,normal,4,1,20,20,244,26.670721947092026,48.49629369547813,False,False,False
1,normal,4,1,21,21,245,34.654399724024984,67.21951423932477,False,False,False
1,normal,4,1,22,22,246,34.48048710849873,59.730253612046376,False,False,False
1,normal,4,1,23,23,247,22.576000605680047,37.46513576012066,False,False,False
1,normal,4,1,24,24,248,46.42838361908551,76.73445807717401,False,False,False
1,normal,4,1,25,25,249,28.24002148362927,51.21303690065839,False,False,False
1,normal,4,1,26,26,250,20.472529296897026,38.77795927499113,False,False,False
1,normal,4,1,27,27,251,26.63175526885641,43.100156267906044,False,False,False
1,normal,4,1,28,28,252,29.069628514419193,40.328409705080645,False,False,False
1,normal,4,1,29,29,253,46.5915566509859,66.47085436291384,False,False,False
1,normal,4,1,30,30,254,42.769600240544314,53.62072376970191,False,False,False
1,normal,4,1,31,31,255,21.592753923372957,41.860334371290236,False,False,False
1,normal,5,0,0,0,256,28.44178623000516,49.40635415726472,False,False,False
1,normal,5,0,1,1,257,33.96336725017208,56.16783319591869,False,False,False
1,normal,5,0,2,2,258,38.599209309759054,65.17149842002578,False,False,False
1,normal,5,0,3,3,259,33.60511296029661,45.77046636918905,False,False,False
1,normal,5,0,4,4,260,54.29500133795211,76.43868023216204,False,False,False
1,normal,5,0,5,5,261,26.47386651229782,49.14631964886048,False,False,False
1,normal,5,0,6,6,262,38.08732715713769,59.05266736673459,False,False,False
1,normal,5,0,7,7,263,35.74871990473777,41.634248487809444,False,False,False
1,normal,5,0,8,8,264,38.333297745087776,57.987225798092,False,False,False
1,normal,5,0,9,9,265,28.17016448673867,54.7760102277888,False,False,False
1,normal,5,0,10,10,266,27.373151373993988,51.69808367228035,False,False,False
1,normal,5,0,11,11,267,34.35662354954847,48.435652539700754,False,False,False
1,normal,5,0,12,12,268,34.41403888481548,55.99410789158141,False,False,False
1,normal,5,0,13,13,269,28.975977014481025,52.12382991036078,False,False,False
1,normal,5,0,14,14,270,25.354736276929998,48.708276151061796,False,False,False
1,normal,5,0,15,15,271,37.24266023251158,71.7389437060109,False,False,False
1,normal,5,0,16,16,272,31.871849849304553,55.69137481955226,False,False,False
1,normal,5,0,17,17,273,22.967385935064602,38.20641258333937,False,False,False
1,normal,5,0,18,18,274,34.8741176178612,52.29955966962065,False,False,False
1,normal,5,0,19,19,275,61.31853434484366,80.74877067242289,False,False,False
1,normal,5,0,20,20,276,30.18898080556929,56.98573933785859,False,False,False
1,normal,5,0,21,21,277,28.952412731572647,46.235892490662216,False,False,False
1,normal,5,0,22,22,278,39.822664367083924,68.75159628204221,False,False,False
1,normal,5,0,23,23,279,58.46979353630453,73.7750265416238,False,False,False
1,normal,5,0,24,24,280,37.27493712662345,50.81648474828407,False,False,False
1,normal,5,0,25,25,281,32.85421596247059,58.05203407297532,False,False,False
