participant,condition,run,trial_repeat,class_id,true_label,predicted_label,correct,rho_target,rho_max,rho_margin,best_incorrect_score,band1_target_score,band2_target_score,band3_target_score
1,red_green,2,1,26,26,2,0,0.7073837112997675,1.0885342377505642,-0.3811505264507967,1.0885342377505642,0.44168862510977613,0.6573561116044453,0.5876704516071449
1,red_green,2,1,27,27,1,0,0.4641857198068301,0.9534165794431608,-0.48923085963633073,0.9534165794431608,0.3752343177993691,0.4618330480524276,0.5371018410516304
1,red_green,2,1,28,28,24,0,0.3766397976713024,0.7609600760276327,-0.3843202783563303,0.7609600760276327,0.3413962565969684,0.516211398251222,0.3223436900721972
1,red_green,2,1,29,29,14,0,0.4845500224402533,0.8597313181358657,-0.37518129569561237,0.8597313181358657,0.39954952921294984,0.5459660229323741,0.411336966738802
1,red_green,2,1,30,30,19,0,0.8136996898592409,0.851795212654162,-0.03809552279492112,0.851795212654162,0.49682085318029806,0.6369921631779167,0.6805908346347499
1,red_green,2,1,31,31,2,0,0.5698411035168887,0.8258846035301379,-0.25604350001324927,0.8258846035301379,0.4659148142756036,0.5747102574944127,0.39127941519834425
1,red_green,3,0,0,0,4,0,0.7733485116562173,1.0611798357439384,-0.28783132408772105,1.0611798357439384,0.5557338976192453,0.5895732471375118,0.5536206521773879
1,red_green,3,0,1,1,0,0,1.0857902706139204,1.0857903201975014,-4.958358101880833e-08,1.0857903201975014,0.6808542444762413,0.6815064656212516,0.6223773736213478
1,red_green,3,0,2,2,0,0,1.0345120522834628,1.0345120522834632,-4.440892098500626e-16,1.0345120522834632,0.6538137053371776,0.6058514974137081,0.7105270731624479
1,red_green,3,0,3,3,3,1,0.9764496411062632,0.9764496411062632,7.771561172376096e-16,0.9764496411062624,0.6550999877227197,0.6418384129488655,0.5705120504000133
1,red_green,3,0,4,4,3,0,0.6118360392061741,0.8305435017771985,-0.21870746257102436,0.8305435017771985,0.48351780101069697,0.5148832553330808,0.5309162995122173
1,red_green,3,0,5,5,4,0,0.8084449862148824,0.8084451535730148,-1.6735813246349096e-07,0.8084451535730148,0.5569697379525916,0.571882245804292,0.63260447896352
1,red_green,3,0,6,6,6,1,0.8346883144998842,0.8346883144998842,3.1086244689504383e-15,0.8346883144998811,0.5495407377190787,0.577589368239269,0.6811833406224294
1,red_green,3,0,7,7,5,0,0.8180429602624608,0.8180429602624624,-1.5543122344752192e-15,0.8180429602624624,0.6514282378532595,0.5325718526311224,0.4399970795097026
1,red_green,3,0,8,8,1,0,0.7847467547065864,0.8283252233155024,-0.04357846860891601,0.8283252233155024,0.5987348899523122,0.5083727711251398,0.5697466091450119
1,red_green,3,0,9,9,9,1,0.7987378319662174,0.7987378319662174,1.887379141862766e-15,0.7987378319662155,0.5926316359611707,0.4978028133809791,0.6201923283674162
1,red_green,3,0,10,10,11,0,1.093383563045763,1.093383579557217,-1.651145420389355e-08,1.093383579557217,0.728786639092952,0.5476825584574263,0.6736146531651556
1,red_green,3,0,11,11,3,0,0.7615638962194718,0.8871614217395546,-0.12559752552008274,0.8871614217395546,0.5668069106474367,0.5573006765279154,0.549103367575842
1,red_green,3,0,12,12,2,0,0.48240730299670403,0.832436690712225,-0.350029387715521,0.832436690712225,0.4790967369187669,0.3295201486804039,0.4937434768089725
1,red_green,3,0,13,13,20,0,0.6220231827578458,0.6846859032519229,-0.06266272049407706,0.6846859032519229,0.46610635088681546,0.5226488364233269,0.576582133864564
1,red_green,3,0,14,14,3,0,0.5853533659877609,0.9542189651675391,-0.36886559917977824,0.9542189651675391,0.49516653086357254,0.42843415771419274,0.5563926139795923
1,red_green,3,0,15,15,0,0,0.8575550740143325,0.9163850284043975,-0.058829954390065,0.9163850284043975,0.5815171537288416,0.5314405543324181,0.698425356249293
1,red_green,3,0,16,16,3,0,0.83330564841374,0.9792774438580127,-0.14597179544427275,0.9792774438580127,0.5162982469638037,0.612944099046452,0.7022764862052231
1,red_green,3,0,17,17,18,0,1.1968320038854585,1.1968323681174653,-3.6423200677759837e-07,1.1968323681174653,0.7635895402651958,0.6184090715589438,0.6484103417304998
1,red_green,3,0,18,18,16,0,1.0595251506226253,1.0595251506226253,0.0,1.0595251506226253,0.6670670076330542,0.6067261600049119,0.7139020710840961
1,red_green,3,0,19,19,0,0,0.8582687464927508,0.9733749554286475,-0.11510620893589674,0.9733749554286475,0.6109607895506501,0.49292100665347943,0.6742217517343834
1,red_green,3,0,20,20,20,1,1.0364851704552673,1.0364851704552673,6.661338147750939e-16,1.0364851704552667,0.6545067360789537,0.689443570922513,0.6018933662969257
1,red_green,3,0,21,21,21,1,0.9303361888481991,0.9303361888481991,2.220446049250313e-16,0.9303361888481989,0.6104316255697824,0.6899010684708317,0.5375804709850112
1,red_green,3,0,22,22,0,0,0.48403499070569833,0.9476939624513505,-0.4636589717456522,0.9476939624513505,0.3988788402868781,0.4605115206308905,0.5329928188981886
1,red_green,3,0,23,23,4,0,0.4433656695266479,0.754955486484163,-0.3115898169575151,0.754955486484163,0.34567143243702436,0.4767874173568424,0.5304184604453935
1,red_green,3,0,24,24,27,0,0.9826153813131737,0.9826153866436111,-5.33043742478867e-09,0.9826153866436111,0.6351555145402783,0.710521803251029,0.5271739166897577
1,red_green,3,0,25,25,10,0,0.550226853830898,0.7851352142019131,-0.23490836037101515,0.7851352142019131,0.41253839349335497,0.5561211874730289,0.5085157064036665
1,red_green,3,0,26,26,12,0,0.780288730875226,0.8575173762039616,-0.07722864532873563,0.8575173762039616,0.5328511166932306,0.6743769658660049,0.48924790971638316
1,red_green,3,0,27,27,2,0,0.7175517395792214,0.7877846232397325,-0.07023288366051117,0.7877846232397325,0.5229822104220214,0.6162790477229664,0.49038594454608453
1,red_green,3,0,28,28,29,0,0.8789584917537585,0.878958526378719,-3.4624960454365805e-08,0.878958526378719,0.5711595896506255,0.6381300445523266,0.6274954605574329
1,red_green,3,0,29,29,0,0,0.5570879922479941,0.9304388415637811,-0.373350849315787,0.9304388415637811,0.4094193266652595,0.585363289158329,0.4838615057931235
1,red_green,3,0,30,30,7,0,0.7257844475641262,0.7864236071486717,-0.060639159584545466,0.7864236071486717,0.5022851316134466,0.590261078659816,0.5927561674592798
1,red_green,3,0,31,31,11,0,0.37230465911743443,0.8992933702037564,-0.5269887110863221,0.8992933702037564,0.3572018581661955,0.49166156380423853,0.317535660206582
1,red_green,3,1,0,0,3,0,0.8452453333553223,0.8452489532528132,-3.6198974909806836e-06,0.8452489532528132,0.6162687276790915,0.5505719255707594,0.5765224832025821
1,red_green,3,1,1,1,2,0,0.8571187551821602,0.8571188062082612,-5.102610101115346e-08,0.8571188062082612,0.5813409768260613,0.5614578233191374,0.6661360309811798
1,red_green,3,1,2,2,14,0,0.7178867970197813,0.744059634837135,-0.02617283781735369,0.744059634837135,0.5023880489692374,0.599066958975637,0.5669733910604607
1,red_green,3,1,3,3,2,0,0.9360888223227843,0.9360891528562154,-3.305334310699237e-07,0.9360891528562154,0.5602926189532184,0.6396578716897363,0.731576774682812
1,red_green,3,1,4,4,15,0,0.6707249344054147,0.8354675300531496,-0.16474259564773486,0.8354675300531496,0.5286881983504479,0.5494122839326151,0.4861760960732905
1,red_green,3,1,5,5,8,0,0.47297150321252746,0.7961523025826835,-0.3231807993701561,0.7961523025826835,0.4908119757057469,0.38084948113394385,0.38501675692283444
1,red_green,3,1,6,6,7,0,0.9336756674145449,0.9336758300188267,-1.626042818170248e-07,0.9336758300188267,0.6295176929895417,0.5435422875397273,0.6908965248557274
1,red_green,3,1,7,7,10,0,0.7648842419191036,0.8232055283572738,-0.05832128643817014,0.8232055283572738,0.5247525505675961,0.5968562291206506,0.6010897121733846
1,red_green,3,1,8,8,3,0,0.8775059904915813,1.0591180414359331,-0.18161205094435184,1.0591180414359331,0.5925445474862868,0.619142467397483,0.6007141195346081
1,red_green,3,1,9,9,21,0,0.7034325671410793,0.765793148236532,-0.06236058109545273,0.765793148236532,0.5275630634178089,0.5765480519258402,0.5134252053566444
1,red_green,3,1,10,10,3,0,0.5199288259885549,0.9012072200927795,-0.3812783941042246,0.9012072200927795,0.48219341794700404,0.4230393221476972,0.4660337247280632
1,red_green,3,1,11,11,10,0,0.9684356434390198,0.9684357599350192,-1.1649599940266597e-07,0.9684357599350192,0.5677979325664125,0.6554125943870367,0.7424737457440138
1,red_green,3,1,12,12,7,0,0.6322331352060337,0.8575180402575895,-0.22528490505155574,0.8575180402575895,0.5184361163928944,0.4457756248702277,0.5691613654358965
1,red_green,3,1,13,13,0,0,0.7410423767703941,0.8028857151663544,-0.061843338395960346,0.8028857151663544,0.5624763279966137,0.45453124993277805,0.6414129990920898
1,red_green,3,1,14,14,15,0,1.0612426597480529,1.0612429878563845,-3.281083316153399e-07,1.0612429878563845,0.6711596630087064,0.6029174540756889,0.7110578430804863
1,red_green,3,1,15,15,1,0,0.821194887495012,0.8395533573306537,-0.01835846983564171,0.8395533573306537,0.5722768499779173,0.5312172265785498,0.6650920018811795
1,red_green,3,1,16,16,15,0,0.35462802884734795,0.7499702204928925,-0.39534219164554457,0.7499702204928925,0.35737147055110846,0.3682119352320325,0.454769446423074
1,red_green,3,1,17,17,16,0,0.864471664231101,0.8644720190422179,-3.5481111693158596e-07,0.8644720190422179,0.5804851122641826,0.5899808795641408,0.6458059895117226
1,red_green,3,1,18,18,27,0,0.6525770486220017,0.7106409793852004,-0.05806393076319871,0.7106409793852004,0.5348950071124926,0.4745101028984865,0.5348649744035612
1,red_green,3,1,19,19,2,0,0.7659991395257797,0.821333665247436,-0.055334525721656314,0.821333665247436,0.5726060698952199,0.5145830822671732,0.5957458531722154
1,red_green,3,1,20,20,1,0,0.7133718116396737,0.7914181603316107,-0.07804634869193705,0.7914181603316107,0.5340620925307908,0.5922282449231668,0.4917356308402899
1,red_green,3,1,21,21,21,1,0.7753072129838334,0.7753072129838334,6.661338147750939e-16,0.7753072129838328,0.5410421118502606,0.5851161892287401,0.59781604242331
1,red_green,3,1,22,22,23,0,0.9400859264562859,0.9400859763641786,-4.9907892707423684e-08,0.9400859763641786,0.6154277707701782,0.6884109754695877,0.5439572931905193
1,red_green,3,1,23,23,1,0,0.5408114324146059,0.9164585665891785,-0.3756471341745725,0.9164585665891785,0.432974172896077,0.488743377693834,0.5392121571054459
1,red_green,3,1,24,24,5,0,0.8914519668557647,0.9205276385682929,-0.029075671712528228,0.9205276385682929,0.6140761038064403,0.6699501200262794,0.4866095426750706
1,red_green,3,1,25,25,3,0,0.7847447221708521,0.9273492317974436,-0.14260450962659144,0.9273492317974436,0.5327243244075754,0.599066802330292,0.6134424312266434
1,red_green,3,1,26,26,3,0,0.4013087084110732,0.9508062629995389,-0.5494975545884657,0.9508062629995389,0.3831699419869484,0.4578925581587459,0.39169317591299774
1,red_green,3,1,27,27,4,0,0.39494772432922987,0.8630964073012228,-0.46814868297199297,0.8630964073012228,0.3434654119357498,0.4438762912771913,0.4788310137104633
1,red_green,3,1,28,28,2,0,0.3946365754299047,0.7972467776635773,-0.4026102022336726,0.7972467776635773,0.3423020594176901,0.4449949642483996,0.47887131192648286
1,red_green,3,1,29,29,0,0,0.5543363968004016,0.8609646416082513,-0.30662824480784967,0.8609646416082513,0.42586773019608887,0.49752673207022574,0.5667822773866819
1,red_green,3,1,30,30,27,0,0.8000612668150909,0.9480528769793407,-0.14799161016424978,0.9480528769793407,0.5558871771306674,0.6603665991546074,0.4911930122637294
1,red_green,3,1,31,31,21,0,0.4866228685533028,0.7369904511414782,-0.25036758258817543,0.7369904511414782,0.3999477490134172,0.5854153701073522,0.3362568468524328
1,red_green,4,0,0,0,2,0,0.8534326608112809,0.8534326608112817,-7.771561172376096e-16,0.8534326608112817,0.5455192163277935,0.6127923817083305,0.6755507128483654
1,red_green,4,0,1,1,9,0,0.7908101352692537,0.9548264452131077,-0.16401630994385397,0.9548264452131077,0.5063088986630572,0.5789571713375783,0.6986351620373676
1,red_green,4,0,2,2,2,1,0.9012705694095836,0.9012705694095836,7.771561172376096e-16,0.9012705694095828,0.6273992810428594,0.6130239938552823,0.5590264514384369
1,red_green,4,0,3,3,1,0,0.968457298607575,0.9684572986075753,-3.3306690738754696e-16,0.9684572986075753,0.6617392271708725,0.588352580492968,0.6128148745114043
1,red_green,4,0,4,4,2,0,0.579824390611065,0.9994680252384134,-0.4196436346273483,0.9994680252384134,0.4714182998654622,0.545315825973134,0.4516433534643546
1,red_green,4,0,5,5,3,0,0.8765973305953096,1.0624678557383118,-0.18587052514300217,1.0624678557383118,0.6273585708781743,0.5410858916094032,0.6117306763152245
1,red_green,4,0,6,6,0,0,0.7676163021810263,0.8460124089723471,-0.07839610679132081,0.8460124089723471,0.6037982096301251,0.4841387231342933,0.5545200857956352
1,red_green,4,0,7,7,4,0,0.7376648747950233,0.7376660460619198,-1.1712668964714013e-06,0.7376660460619198,0.5363478191253293,0.5128587713970679,0.6331199176516545
1,red_green,4,0,8,8,0,0,0.8092963496691757,0.8722640109645974,-0.06296766129542164,0.8722640109645974,0.6349825927432688,0.46044659410545463,0.5693636211050352
1,red_green,4,0,9,9,11,0,0.9370480447961163,0.9370480447961176,-1.3322676295501878e-15,0.9370480447961176,0.637781087523759,0.5731649369237838,0.6433981945440629
1,red_green,4,0,10,10,1,0,0.4889803205020362,0.8051253707432232,-0.316145050241187,0.8051253707432232,0.39560202046565796,0.47821877350068187,0.5274750897932572
1,red_green,4,0,11,11,11,1,1.0966605471331408,1.0966605471331408,8.881784197001252e-16,1.0966605471331399,0.6477964625727907,0.6972621681326591,0.69935945895021
